nct_id,title,acronym,organization_name,organization_type,sponsor_name,sponsor_type,brief_summary,detailed_description,condition,keyword,study_type,target_duration,study_phase,design_allocation,design_intervention_model,design_intervention_model_desc,design_time_perspective,design_masking,design_masking_decsription,design_who_masked,biospec_retention,biospec_description,overall_status,last_known_status,start_date,start_date_type,first_submit_date,first_submit_qc_date,last_update_submit,completion_date,completion_date_type,why_stopped,has_exp_access,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,last_updated
NCT07130435,"The Effect of Nursing Intervention Based on the Salutogenic Model on Sense of Coherence, Healthy Aging, and Quality of Life",,Ankara Yildirim Beyazıt University,OTHER,Ankara Yildirim Beyazıt University,OTHER,"The world population is rapidly aging, and Turkey is one of the countries where aging is occurring quickly. When the investigators examine the proportion of the elderly population to the total population over the years and decades, the invesitigators observe that the percentage was 3.9% in 1935, 3.4% in 1955, 4.1% in 1975, 5.7% in 2000, 7.2% in 2010, 7.7% in 2013, and 8.5% in 2017. Finally, in 2022, this proportion reached 9.9%. According to population projections, the proportion of the elderly population is expected to be 12.9% in 2030, 16.3% in 2040, 22.6% in 2060, and 25.6% in 2080 (TUIK, 2022).

The ability of elderly individuals to live independently is influenced by their social and economic conditions, physical health, as well as sociodemographic characteristics such as age and gender. The interaction of elderly individuals with society influences their healthy living behaviors. Furthermore, their interaction with personal and societal resources affects their sense of wholeness and quality of life. To achieve a good quality of life, elderly individuals need to use both internal and external resources, and education should support this (Tan et al., 2014). For health services to be effective, they must be sensitive to the differences, experiences, socioeconomic status, and cultural background of individuals. Therefore, health professionals, including nurses, should prioritize providing appropriate health services for elderly individuals during care (Temel et al., 2009). The roles of public health nurses in elderly health include providing education to elderly individuals and caregivers, offering counseling, protecting the health of elderly individuals, conducting physical assessments, teaching self-care and personal hygiene, making home visits when necessary, assessing and taking precautions regarding situations that could cause accidents, evaluating acute health problems and chronic diseases, educating about the management of chronic diseases, and implementing interventions based on nursing diagnoses (Akdemir et al., 2009). The most important principle in ensuring elderly individuals maintain their health and age healthily is to support them in acquiring basic living skills and independence as much as possible. These basic skills, also known as daily living activities, are crucial for preserving the quality of life by enabling elderly individuals to live independently. A review of the literature reveals that there is no evidence of educational or intervention programs aimed at supporting healthy aging for individuals aged 65 and over in Turkey, or programs that focus on holistic health. Therefore, this randomized controlled study will investigate

how an intervention and education program based on the salutogenic model affects elderly individuals' self-efficacy, healthy living behaviors, and coping skills with diseases and stressors. As a result, the applied intervention program will positively impact the quality of life, sense of wholeness, and healthy aging processes of elderly individuals by examining their responses to stressors and revealing the internal and external resources they can utilize.","The world population is rapidly aging, and Turkey is one of the countries where aging is occurring quickly. When the investigators examine the proportion of the elderly population to the total population over the years and decades, the investigators observe that the percentage was 3.9% in 1935, 3.4% in 1955, 4.1% in 1975, 5.7% in 2000, 7.2% in 2010, 7.7% in 2013, and 8.5% in 2017. Finally, in 2022, this proportion reached 9.9%. According to population projections, the proportion of the elderly population is expected to be 12.9% in 2030, 16.3% in 2040, 22.6% in 2060, and 25.6% in 2080 (TUIK, 2022). The increase in the elderly population brings about various health, economic, social, and environmental challenges. In order to address these issues, societies are not only developing care and treatment methods for the elderly but are also giving importance to prevention methods. The ability to live independently is essential for healthy aging and maintaining a healthy population. To support the elderly in living independently, both preventive and therapeutic methods are used. This is because, alongside long life, the quality of life is also of great importance (Gürer et al., 2019). From the perspective of the National Action Plan on Aging, health problems emerge or existing issues are exacerbated with aging, thereby affecting living standards. In addition to the physical changes seen in this period, health problems related to chronic diseases also negatively impact the quality of life.

The increase in life expectancy at birth has contributed to the global increase in the elderly population (onikinciplan.sbb.gov.tr). The ability of elderly individuals to live independently is influenced by their social and economic conditions, physical health, as well as sociodemographic characteristics such as age and gender. The interaction of elderly individuals with society influences their healthy living behaviors. Furthermore, their interaction with personal and societal resources affects their sense of wholeness and quality of life. To achieve a good quality of life, elderly individuals need to use both internal and external resources, and education should support this (Tan et al., 2014). For health services to be effective, they must be sensitive to the differences, experiences, socioeconomic status, and cultural background of individuals. Therefore, health professionals, including nurses, should prioritize providing appropriate health services for elderly individuals during care (Temel et al., 2009). The roles of public health nurses in elderly health include providing education to elderly individuals and caregivers, offering counseling, protecting the health of elderly individuals, conducting physical assessments, teaching self-care and personal hygiene, making home visits when necessary, assessing and taking precautions regarding situations that could cause accidents, evaluating acute health problems and chronic diseases, educating about the management of chronic diseases, and implementing interventions based on nursing diagnoses (Akdemir et al., 2009). The most important principle in ensuring elderly individuals maintain their health and age healthily is to support them in acquiring basic living skills and independence as much as possible. These basic skills, also known as daily living activities, are crucial for preserving the quality of life by enabling elderly individuals to live independently. A review of the literature reveals that there is no evidence of educational or intervention programs aimed at supporting healthy aging for individuals aged 65 and over in Turkey, or programs that focus on holistic health. Therefore, this randomized controlled study will investigate

\- Page 2 of 5 \[DRAFT\] - how an intervention and education program based on the salutogenic model affects elderly individuals' self-efficacy, healthy living behaviors, and coping skills with diseases and stressors. As a result, the applied intervention program will positively impact the quality of life, sense of wholeness, and healthy aging processes of elderly individuals by examining their responses to stressors and revealing the internal and external resources they can utilize. Research Hypotheses Hypothesis 1. H1: There is a difference in the average quality of life scores between elderly individuals in the intervention and control groups. Hypothesis 2. H1: There is a difference in the average sense of wholeness scores between elderly individuals in the intervention and control groups. Hypothesis 2a. H1: There is a difference in the average comprehensibility subscale scores of the sense of wholeness between elderly individuals in the intervention and control groups. Hypothesis 2b. H1: There is a difference in the average meaningfulness subscale scores of the sense of wholeness between elderly individuals in the intervention and control groups. Hypothesis 2c. H1: There is a difference in th",['Sense of Coherence'],"['Salutogenesis, elderly people, public health nursing']",INTERVENTIONAL,,,"This study is a randomized controlled intervention using a pretest-posttest experimental design. Participants will be 72 older adults aged 60-70 residing in nursing homes affiliated with the Turkish Ministry of Family and Social Services in Ankara. They will be randomly assigned to either an intervention (n=36) or control (n=36) group. The study aims to evaluate the effect of an intervention based on the salutogenic model on sense of coherence, healthy aging, and quality of life.",PARALLEL,,,NONE,No masking will be applied in this study. Both participants and researchers will be aware of the assigned groups due to the nature of the intervention.,,,,,,2025-01-31,ACTUAL,2025-05-05,2025-08-15,2025-08-15,2026-07-25,ESTIMATED,,False,False,False,False,,2025-08-19
NCT03927235,The Diagnostic Yield and Safety of Transbronchial Cryobiopsy in Different Freezing Time in the Diffuse Parenchymal Lung Diseases: a Prospective Randomized Control Trial,,Guangzhou Institute of Respiratory Disease,OTHER,Guangzhou Institute of Respiratory Disease,OTHER,"Transbronchial cryobiopsy in different freezing time is performed in patients with undefined diffuse parenchymal lung diseases, and assess the diagnostic yield and safety.","Transbronchial cryobiopsy in different freezing time is performed in patients with undefined diffuse parenchymal lung diseases, and assess the diagnostic yield and safety. This is a prospective randomized control trial.",['Transbronchial Cryobiopsy' 'Freezing Time' 'Diagnostic Yield' 'Safety'],"['Transbronchial Cryobiopsy' 'freezing time' 'Diagnostic Yield' 'Safety'
 'Diffuse Parenchymal Lung Disease']",INTERVENTIONAL,,,,PARALLEL,,,NONE,,,,,RECRUITING,RECRUITING,2019-05-16,ACTUAL,2019-04-23,2019-04-23,2019-05-28,2020-05-15,ESTIMATED,,False,True,False,False,,2019-05-30
NCT02645435,Consequence of the Learning Curve in Direct Anterior Approach for Total Hip Replacement,,Azienda Ospedaliera Bolognini di Seriate Bergamo,OTHER,Azienda Ospedaliera Bolognini di Seriate Bergamo,OTHER,"Background:

Direct anterior approach to the hip (DAA) is being considered as one of the most promising minimally-invasive approaches in total hip arthroplasty (THA). Purpose of this study is to analyse influence of learning curve on clinical and radiographic outcome in direct anterior approach (DAA) for total hip replacement.

Methods:

The first 30 patients operated with DAA (group B) were compared to 39 patients operated by Hardinge approach (group A). Peri-and postoperative complications, Harris Hip Score (HHS), implant positioning, experienced pain and patient satisfaction were evaluated at a mean follow-up of 32 months.","Direct anterior approach to the hip (DAA) is being considered as one of the most promising minimally-invasive approaches in total hip arthroplasty (THA). Purpose of this study is to analyse influence of learning curve on clinical and radiographic outcome in direct anterior approach (DAA) for total hip replacement.

Methods:

The first 30 patients operated with DAA (group B) were compared to 39 patients operated by Hardinge approach (group A). Peri-and postoperative complications, Harris Hip Score (HHS), implant positioning, experienced pain and patient satisfaction were evaluated at a mean follow-up of 32 months.",['Arthropathy of Hip' 'Surgery'],,INTERVENTIONAL,,,,PARALLEL,,,NONE,,,,,,,2015-12,,2015-12-29,2015-12-31,2015-12-31,2015-12,ACTUAL,,False,False,,,,2016-01-01
NCT01933035,Extended Platelet Parameters as a Means to Differentiate Immune Thrombocytopenia From Hypo-proliferative Thrombocytopenias.,,Beth Israel Medical Center,OTHER,Beth Israel Medical Center,OTHER,"To utilise extended platelet parameters in order to individuate Immune Thrombocytopenia (ITP) from hypo-proliferative causes of thrombocytopenia.

To develop the clinical potential of the extended platelet parameters as they pertain to distinguishing different causes of thrombocytopenia from one another.

To test the hypothesis that mean platelet component (MPC) and mean platelet mass (MPM) might distinguish between thrombocytopenia related to bone marrow dysfunction and immune mediated destruction of platelets.","Patient to be registered at the Haematology-Oncology department Mount Sinai Roosevelt Hospital.

Inclusion criteria are as follows:

All individuals age 18yrs and above capable of rendering consent Known ITP confirmed by response to IVIG, glucocorticoids, or WinRho and exclusion of all other possible causes of thrombocytopenia Confirmed aplastic anemia \[as assessed through bone marrow trephine biopsy\]. Chemotherapy-induced thrombocytopenia assessed at time of predicted nadir.","['Immune Thrombocytopenia' 'Chemotherapy Induced Thrombocytopenia'
 'Myelodysplasia' 'Aplastic Anaemia']",['ITP' 'Thrombocytopenia' 'mean platelet mass' 'mean platelet component'],OBSERVATIONAL,12 Months,12 Months,,,12 Months,PROSPECTIVE,,,,SAMPLES_WITHOUT_DNA,"Study subjects will have the following collected: Lavender tri-potassium EDTA tubes filled according to the manufacturer's specifications \[approximately 4ML of venous blood\], labeled, and promptly dispatched to the laboratory.The sample will be gently inverted several times prior to analysis on the ADVIA 120 taking care not to overly agitate the sample. Moreover, the specimen shall be inspected for clot formation prior to being assayed. The full blood count shall be obtained and in the configuration sub-menu the extended platelet parameter option shall be selected and thus actuated. A print out will be generated including the MPC, MPM, platelet component distribution width, platelet mass distribution width, and large platelet count in addition to the standard platelet count and mean platelet volume \[MPV\].",,,2013-10,,2013-08-28,2013-08-28,2016-05-16,2015-10,ACTUAL,,False,False,,,,2016-05-17
NCT00457535,"Recombinant Human Erythropoietin Dose, Serum Adiponectin, and All-Cause Mortality in Patients Beginning Hemodialysis",,Hamamatsu University,OTHER,Hamamatsu University,OTHER,"Responsiveness of recombinant human erythropoietin (rHuEPO) is known to be related with body fatness in hemodialysis (HD) patients. Adiponectin (ADPN) is inversely associated with body fat mass, and in healthy subjects, low ADPN is a predictor of mortality. Recently, higher rHuEPO dose itself is demonstrated to be associated with poor prognosis. So, in this study, we prospectively examined the relationship between rHuEPO dose, serum ADPN, and mortality in patients beginning HD.","We selected 85 patients (51 men/34 women, age; 64±15 years) who survived for more than 3 months after the start of HD. After determining initial rHuEPO dosage, we followed the patients for 3 years, and examined an association between rHuEPO dose, serum ADPN, and all-cause mortality.

We could follow totally 74 out of 85 patients for 3 years; 59 patients were survived, but 15 patients expired. Dosage of rHuEPO was significantly and negatively correlated with body mass index (BMI) (r=-0.44, p\<0.01) and positively with serum ADPN (r=0.29, p\<0.02), but not with leptin. Cox-hazards regression analysis adjusted by age, sex and underlying kidney disease revealed that rHuEPO dose and serum ADPN, as well as nutritional parameter such as protein catabolic rate became significant determinants of 3-year mortality. There was a 12.7% risk increase for 10U/kg/week increase in rHuEPO dose and 1.3% increase for 1µg/ml increment of serum ADPN for the 3-year of follow-up.",['Renal Dialysis'],['recombinant human erythropoietin' 'adiponectin' 'mortality'],OBSERVATIONAL,,,,,,PROSPECTIVE,,,,,,,,2000-08,,2007-04-05,2007-04-05,2007-04-05,2004-07,,,False,,,,,2007-04-06
NCT03240835,"The Function of Pre-Albumin, Retinol Conjugated Protein and Transferrin in Early Malnutrition Detecting and Nutritional Status Dynamic Monitoring for Local Advanced Nasopharyngeal Carcinoma Patients With Chemoradiotherapy",,Sun Yat-sen University,OTHER,Zhao Chong,OTHER,"The purpose of this study is to study the function of pre-albumin, retinol conjugated protein and transferrin in early malnutrition detecting and nutritional status dynamic monitoring for local advanced nasopharyngeal carcinoma patients with chemoradiotherapy.",,['Nasopharyngeal Carcinoma' 'Malnutrition'],"['pre-Albumin' 'Retinol Conjugated Protein' 'Transferrin'
 'Locoregionally Advanced Nasopharyngeal Carcinoma' 'nutrition']",OBSERVATIONAL,,,,,,PROSPECTIVE,,,,,,ACTIVE_NOT_RECRUITING,ACTIVE_NOT_RECRUITING,2017-09-12,ACTUAL,2017-07-27,2017-08-01,2023-01-29,2023-12-31,ESTIMATED,,False,False,False,False,,2023-01-31
NCT04713735,"A Randomized, Double-Blind, Placebo-Controlled, Study to Evaluate the Impact of Lactoferrin Dietary Supplementation on Respiratory Tract Infections in an Elderly Population",,Mead Johnson Nutrition,INDUSTRY,Mead Johnson Nutrition,INDUSTRY,"This is a randomized, double-blind, placebo-controlled study to evaluate the impact of bovine Lactoferrin (bLf) on respiratory tract infections (RTIs) in an elderly population in the United States.",,['Immune Health'],,INTERVENTIONAL,,,,PARALLEL,,,QUADRUPLE,,['PARTICIPANT' 'CARE_PROVIDER' 'INVESTIGATOR' 'OUTCOMES_ASSESSOR'],,,,,2021-02-08,ACTUAL,2021-01-08,2021-01-14,2023-10-17,2023-04-28,ACTUAL,,False,False,False,False,,2023-10-18
NCT04445935,Anticoagulation in Patients Suffering From COVID-19 Disease-The Anti-Co Trial,,Hamad Medical Corporation,INDUSTRY,Hamad Medical Corporation,INDUSTRY,"Patients with COVID-19 associated ARDS and mechanical ventilation have a high mortality. Part of the disease is an activation of the coagulation system which seems to contribute to clotformation in the pulmonary bloodstream. Recently we implemented an algorithm applying higher doses of heparins (LMWH). However, this approach could not inhibit clotformation enough. Bivalirudin could prevent clotformation better and support dissolving existing clots.

Therefore, we want to compare 50 patients with the standard treatment with 50 patients under bivalirudin treatment which we normally apply in patients with a HIT-syndrome.

Our primary outcome measure is oxygenation reflected as P/F ratio.","The pandemic of COVID-19, a newly upcoming viral disease caused by SARS-CoV-2, puts the whole worlds health system under pressure.

Patients suffering from this disease mainly develop respiratory symptoms, which can lead to severe acute respiratory distress syndrome (ARDS) necessitating ICU admission in 10-20% of the cases admitted to hospital. In addition to these symptoms, patients show lymphopenia, cardiac symptoms and altered coagulation profiles. Although those patients are treated in the ICU the mortality there is more than 20% due to multiorgan failure.

One of the recent insights in this disease is its effect on the coagulation system. Meanwhile we know that the coagulation system gets activated. Furthermore, it seems that clot formation takes place in the pulmonary micro-vasculature which could contribute to the widely observed gas-exchange impairment. Therefore, many centers apply empiric anticoagulation for their COVID-patients. At the moment, we at HMC, also apply an empirical anticoagulation protocol as our standard approach. However, this is a symptomatic treatment without good proof.

Bivalirudin is a well-known agent which is used in HMC for cases in which anticoagulation is needed, but a contraindication for heparin exists (i.e. HIT syndrome). This drug has an interesting pharmacologic profile. It acts independent of antithrombin (AT), the physiological compound which enhances heparin effects under normal circumstances. This lack of dependence on AT, makes Bivalirudin an attractive choice in light of the contradictory reports on the levels of AT during COVID infection. If AT levels are decreased during the infection, heparin (as well as LMWH) cannot work efficiently, which would render our treatment less effective. Luckily, bivalirudin acts without the support of AT, so we could bypass this problem. In addition, bivalirudin has some fibrinolytic activities. It inhibits clot-bound thrombin which as a result destabilizes the clot rendering it more susceptible to thrombolysis. This property partially supports the dissolving of clots and could support re-opening the pulmonary microcirculation.

Objectives:

To prove the positive effect of anticoagulation with bivalirudin intravenously on gas-exchange in patients with COVID-19 and respiratory failure on invasive mechanical ventilation.",['Anticoagulation in COVID-19 ARDS'],['COVID-19' 'ARDS' 'Anticoagulation'],INTERVENTIONAL,,,This is a randomized controlled trial.,PARALLEL,,,TRIPLE,This study will be blinded to the above mentioned group. The PI is not involved in active treatment. Patients are sedated and ventilated when treatment starts and finally the outcome assessors will not be knowing the patients treatment.,['PARTICIPANT' 'INVESTIGATOR' 'OUTCOMES_ASSESSOR'],,,RECRUITING,RECRUITING,2020-06-28,ESTIMATED,2020-06-23,2020-06-23,2020-06-23,2021-03-28,ESTIMATED,,False,True,False,False,,2020-06-24
NCT05491135,Hepatocytes Co-Encapsulated With Mesenchymal Stromal Cells in Alginate Microbeads for the Treatment of Acute Liver Failure in Paediatric Patients (HELP),HELP,King's College Hospital NHS Trust,OTHER,King's College Hospital NHS Trust,OTHER,"Acute Liver Failure in children is associated with high mortality without liver transplantation. In addition, donor organ shortage makes it difficult to provide this treatment to every potential patient. Liver transplantation is life-saving but it carries the risk of major surgery and complications from lifelong anti-rejection drugs to suppress the immune system. If bridged across the immediate crisis following acute liver failure, the immense regenerative potential of the liver means that the patient's own liver may 're-grow'. This period is very time sensitive. Unfortunately, if the vital synthetic and detoxification function of the liver is not provided, the patient will often die before the liver can re-grow.

Transplantation of liver cells (hepatocytes) can provide this 'bridge' with considerable advantages over whole organ transplantation. Firstly, hepatocytes are derived from donor livers which are otherwise unsuitable for transplantation. Secondly, unlike whole organs, they can be frozen and stored, thus act as an 'off the shelf' treatment. Thirdly, the technique of hepatocyte transplantation within microbeads coated with alginate (a gel originating from seaweed) and infused into the abdominal cavity is much less invasive than liver transplantation. Finally, the alginate protects the cells against the body's immune system, avoiding the need for immunosuppressive drugs and the associated major risks. Furthermore, preclinical work in King's College Hospital has shown that the addition of support cells called mesenchymal stromal cells (MSCs), can significantly improve the ability of hepatocytes to survive and function within the alginate microbead.

The HELP trial is a Phase 1/2 safety and tolerability study of infusion of HMB002 (an optimal combination of hepatocytes and mesenchymal stromal cells put together in peptide-alginate microbeads) into paediatric patients with acute liver failure. This novel cellular therapy may act as a bridge treatment to liver transplant or lead to regeneration of the native liver.","This is an open label, single centre study first in man study. The study will be conducted using the Simon two stage design. Nine patients will be recruited during stage 1 of the study. Once 9 patients have completed their 24 weeks visit, the study will stop for futility if only 2 or fewer patients have survived with the native liver. Otherwise, the study will progress to Stage 2 of recruitment, where the trial will continue to enroll a further 8 patients. A total of 17 patients will be recruited into the study (at the end of stages 1 and 2). At the end of the second stage, 7 or more patients out of the 17 enrolled should have survived with the native liver at 24 weeks post HMB002 treatment, to show evidence of efficacy of this novel hepatocyte transplantation that would support a larger randomised controlled trial.

Following signed informed consent from parent/legal guardian, the following screening tests and procedures will be undertaken to ensure patient is eligible to take part in the study (some of these may be part of routine care).

* Medical and Medication History
* Physical examination
* Height and weight monitoring
* Vital signs (body temperature, blood pressure, Pulse rate and Oxygen saturation)
* Urine or serum pregnancy test in females of childbearing potential
* Clinical blood tests and additional research bloods
* Recording of neurological parameters
* Ultrasound of the abdomen
* Quality of Life - Parent and where appropriate patient questionnaires (optional)

Enrolled participants will have pre-infusion checks and monitoring in the paediatric high dependency unit (HDU) or Paediatric intensive care unit (PICU). Children with acute liver failure generally require this degree of monitoring in any case. The child may be intubated and ventilated as part of routine care. This involves ventilation using a machine to help move air into and out of the lungs. If a suitable donor liver becomes available within 12 hours of planned study treatment, patient will go onto receive a liver transplant.

Following successful pre-infusion checks, the solution containing beads will be infused manually into the peritoneal cavity with usually a 50ml syringe, as a single infusion or several infusions, to achieve in excess of 25 million hepatocytes per kilogram of the body weight. HMB002 infusion will be done under ultrasound guidance.

* Participants will be continuously monitored before and for at least 24 hours after infusion in PICU/HDU. Some of these tests outlined below will be as per HDU and PICU standard of care. Once clinical condition permits and after 24 hours post infusion, the child may be stepped down to the paediatric wards.

  * Physical and neurological examination
  * Intra-abdominal pressure will be measured using urinary catheter where possible, at regular intervals both before and after infusion.
  * Regular review of the IMP infusion site
  * regular Vital signs (body temperature, blood pressure, Pulse rate and Oxygen saturation) • Clinical bloods at regular intervals both pre and post infusion.
  * Additional research bloods
