nct_id,title,acronym,organization_name,organization_type,sponsor_name,sponsor_type,brief_summary,detailed_description,condition,keyword,study_type,target_duration,study_phase,design_allocation,design_intervention_model,design_intervention_model_desc,design_time_perspective,design_masking,design_masking_decsription,design_who_masked,biospec_retention,biospec_description,overall_status,last_known_status,start_date,start_date_type,first_submit_date,first_submit_qc_date,last_update_submit,completion_date,completion_date_type,why_stopped,has_exp_access,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,last_updated
  * Recording of ventilator settings and additional supportive therapy given as part of standard of care • Ultrasound of the abdomen
  * Recording of side effects
  * Recording of change in medications
* Participants will undergo daily examination until Day 7 while still an inpatient, and then be followed up at weeks 2, 4, 8, 12, 16, 24 and 52. Participants will be discharged following a liver organ transplant or upon recovery of their native liver. Therefore some of the follow up visits will be done in the outpatient clinics at King's College Hospital. Patients will have some or all of the assessments below at each follow up visit. Some of these visits will be part of standard routine care.

  * Physical and neurological examination
  * Height and weight monitoring,
  * Monitoring of Vital signs (body temperature, blood pressure, Pulse rate and Oxygen saturation)
  * Clinical Blood tests and additional bloods for research (at some visits; optional)
  * Recording of level of ventilator settings and supportive treatment as given with routine care.
  * Recording of side effects
  * Recording of changes to Medication
  * Parent and where appropriate patient questionnaires at final visit (optional parents/legal guardian consent
  * Ultrasound of the abdomen at specified time points in the protocol.

Microbeads will ideally be removed within 4 weeks of infusion. This will be done at the time of liver transplant or upon recovery of the native liver prior to discharge (using laparoscopy, a small key hole surgery of the abdomen).

Participants will also be followed up for another 9 years after HMB0002 infusion for monitoring of long term safety. This will be aligned with routine care and will be conducted annually as a minimum but may be more frequent depending on the clinical condition of the child or young person. Clinical blood tests and abdominal ultrasound data will be collected annually during the long term follow up period (years 2 to 5 as per routine care). SAEs (with exceptions) will be collected for the duration of the follow up period as outlined in the study protocol.",['Acute Liver Failure'],['Cell therapy' 'Paediatric Liver transplant'],INTERVENTIONAL,,,ATIMP,SINGLE_GROUP,,,NONE,,,,,,,2022-09,ESTIMATED,2022-07-27,2022-08-05,2022-08-05,2026-05,ESTIMATED,,False,True,False,False,,2022-08-08
NCT05064735,Effect of Subcutaneous Semaglutide 2.4 mg Once-weekly Compared to Placebo in Subjects With Obesity and Knee Osteoarthritis,,Novo Nordisk A/S,INDUSTRY,Novo Nordisk A/S,INDUSTRY,"This study will look at participants body weight from the start to the end of the study. It will also look at how much pain participants have in participants knee from the start to the end of the study and how this affects participants daily life. This is to compare the effect on body weight and pain in the knee in people taking semaglutide with people taking ""dummy"" medicine. Participants will either get semaglutide or ""dummy"" medicine. Which treatment participants get is decided by chance.

Participants will need to take 1 injection once a week. The study medicine is injected with a thin needle in a skin fold in the stomach, thigh or upper arm. During the study, participants will have talks with study staff about how to eat healthy food and how to be more physically active. The study will last for about 1 ½ years. Participants will have 14 clinic visits with the study staff. At the first clinic visit participants will have a blood sample taken. Participants will have an X-ray of participants knee taken at the first visit. If participants have had an X-ray recently, this may not be needed.

At 6 of the clinic visits participants cannot take pain medications for 3 days before the visit. Participants cannot take part if participants have had a joint replacement surgery in participants knee. Participants cannot take part if participants have or have had diabetes. Women: Women cannot take part if pregnant, breast-feeding or plan to become pregnant during the study period.",,['Obesity'],,INTERVENTIONAL,,,,PARALLEL,,,TRIPLE,,['PARTICIPANT' 'CARE_PROVIDER' 'INVESTIGATOR'],,,,,2021-10-01,ACTUAL,2021-09-22,2021-09-22,2025-07-09,2023-09-08,ACTUAL,,False,False,True,False,,2025-07-22
NCT03012035,The Role of Treatment Expectation in Exposure Training With Spider Fearful Participants,,"University Hospital, Basel, Switzerland",OTHER,"University Hospital, Basel, Switzerland",OTHER,"This study evaluates the role of treatment success expectation in spider fearful individuals on the actual treatment success. Half of participants will have positive treatment success expectations, while the other half will have neutral treatment outcome expectations.","The investigator plan to conduct a randomized, single blind study with two parallel groups. Both groups undergo the same standardized psychotherapeutic intervention, i.e. exposure training. All participants will receive the same exposure training in groups of maximum three participants of the same study group. The two study groups only differ regarding the induced treatment expectations towards the effects of the exposure training. While the experimental group will get an open administration of treatment and be informed in order to have a positive treatment expectation, the comparator group will receive a hidden administration of treatment and get neutral information, thus treatment expectations will be neutral. Study members conducting the exposure training with the participants will not be aware of the allocation of the study participants. Study participants will be informed about the aim of the allocated condition, but they will be blind to the aim of the study in order to induce the specific expectation. Differences in treatment outcomes are compared between both groups to investigate the association with treatment expectation.",['Phobic Disorders'],['psychotherapy' 'exposition' 'spider fear' 'expectation'],INTERVENTIONAL,,,,PARALLEL,,,SINGLE,,['OUTCOMES_ASSESSOR'],,,,,2017-05-18,ACTUAL,2016-12-21,2017-01-03,2018-03-20,2018-03-12,ACTUAL,,False,True,False,False,,2018-03-21
NCT04390035,Blood Flow Restriction Training in the Adolescent Patient: Effects on Muscle Strength and Overall Function Following Anterior Cruciate Ligament Reconstruction Surgery,,Children's Healthcare of Atlanta,OTHER,Children's Healthcare of Atlanta,OTHER,"This is an interventional study that will examine effects of blood flow restriction training (BFRT) in adolescents aged 12-18 after anterior cruciate ligament reconstruction surgery (ACLR). The study aims to identify the effect of BFRT on quadriceps muscle strength and the patient's quality of life, and the overall tolerability of BFRT will be examined. Eight physical therapists at four sports medicine physical therapy (PT) sites will oversee all post-operative PT sessions. Subjects allocated to the BFR group will undergo BFRT, while control group will undergo standard-of-care ACLR rehabilitation, 2 days per week for 16 weeks. Measurements of strength, quality of life, and overall function will be completed at regular intervals.","Background:

Approximately 100,000 anterior cruciate ligament reconstructions (ACLR) are performed yearly, and rates of these surgeries in patients younger than 15 years increased by 924% between 1990 and 2007.1 Persistent strength deficits in quadriceps musculature following ACLR are common, even several months after surgery and despite targeted physical therapy to address atrophy.2 Quadriceps atrophy and weakness are associated with worse patient-reported outcomes (PROs),3 as well as altered movement strategies and increased risk of reinjury.4,6 Approximately 20% of teenagers returning to sports will sustain a second ACL injury in the first two years following their ACLR.5 Regaining neuromuscular activation and strength of the quadriceps muscle safely and efficiently is vital to full recovery, and current post-operative physical therapy regimens have not sufficiently addressed this impairment.

Strength training models recommend utilizing high resistance workloads to produce substantial strength gains,7 yet those recovering from orthopedic surgery are unable to tolerate heavy loads.8 Supplementing low-load resistance training with blood flow restriction (BFR-LLT) produces significant muscle hypertrophy and strength gains previously only thought to be achievable with high-load resistance training.9 BFR-LLT uses a tourniquet around the leg (see Appendix 4) to partially occlude venous return and decrease blood supply to the muscle being exercised. The generation of a low-oxygen environment and increases in plasma growth hormone levels has been shown to promote recruitment of motor units, improve neuromuscular activation, and result in muscular hypertrophy and growth.10-13 In adults and the elderly, improvements in quadriceps strength have been reported in up to 19%14 and increased quadriceps cross-sectional area in up to 6-7% compared to controls.15-16 To date there have only been four high-level studies investigating effects of BFR training in patients following ACLR17-20 and limited conclusions can be drawn from these studies due to lack of consistent methodology (variable cuff pressures and treatment frequency). More high-quality research is needed to determine treatment parameters that produce the most optimal results from this intervention in ACLR patients.

Additionally, there are no published randomized controlled trials investigating the effects of BFR training on exclusively adolescent patients. All high-quality BFR training research in patients following knee surgery have been conducted in late adolescent, young adult and adult populations.17-21 Therefore, the purpose of this study is to assess the effect of BFR-LLT on quadriceps strength and outcomes in adolescents following ACLR.

This study's adolescent-specific focus provides a significant contribution to ACLR research, as younger patients demonstrate higher risk of reinjury.22-24 The results from this preliminary study will ultimately provide data to guide clinicians in optimizing quadriceps strength and utilizing BFR-LLT in younger post-operative ACLR patients.

Protocol:

This randomized clinical trial is an interdisciplinary project between the CHOA Sports Medicine Physical Therapy department and Children's Physician Group (CPG) Orthopedics. As part of standard-of-care, all patients who plan to undergo ACLR by CPG Orthopedics surgeons are referred for at least one PT visit pre-surgery, at which time baseline strength measurements are obtained by the treating physical therapist. Pre-surgery collection of patient-reported outcomes (PROs) is also standard of care for all patients undergoing ACLR.

Skeletally mature male and female adolescents with closed growth plates documented by radiograph who undergo ACLR with quadriceps tendon autograft will be screened by a physical therapist (the PI or co-investigators) using medical notes.

If a patient meets criteria and consents, he/she will be enrolled into the study during the first routine-of-care post-surgery PT visit and randomized to undergo standard post-surgery rehabilitation (control group) or standard post-surgery rehabilitation with supplemental BFR-LLT (test group) as demonstrated in Figure 1 and Appendix 1. Participants will be randomized using a computer program that will generate random numbers to assign participants to the test group or the control group. Participants will be asked to complete four PROs throughout the study (Lysholm, Pedi-IKDC, ACL-RSI, and AMCaMP - see Appendix 5.1-5.4). All relevant demographic, physiological, and radiographic data will be collected at the time of enrollment via RedCap, through a secure link. Data will be stored in a password-protected file on a secure Children's server and only the PI, Co-investigators, and research coordinator will have access.

Eight physical therapists (all CITI-trained) at four sports medicine PT sites will oversee all post-surgery PT sessions. Participants in the control group will follow a standard post-surgery rehabilitation protocol starting 2-5 days post-surgery and attend two PT visits per week until 16 weeks post-surgery. The test group will follow an identical schedule of PT visits but will have two to three exercises in each session supplemented with BFR treatment using the Delfi Personalized Tourniquet System (PTS). Requirements of BFR treatment are described below. For both groups, each session will last approximately 60 minutes. Each of the exercises performed with BFR will last 5-18 minutes, with total time under occlusion not exceeding 30 minutes per visit.

Participants undergoing BFR treatment will wear limb protection sleeves designed to help protect the skin beneath the cuff while the cuff is pressurized. Skin integrity will be monitored pre- and post-treatment at each session. If a study participant reports intolerable pain levels during BFR, the physical therapist will fully deflate the cuff and BFR treatment will cease for that PT session. Any adverse events will be reported to the PI and Co-I's within 24 hours. All required medical assessments will be promptly performed.

If a participant is assigned to the test group, BFR intervention will end after 16 weeks post-surgery. Both the test group (BFR-LLT) and the control group will follow standard of care treatment after week 16 post-surgery, including the standard post-intervention functional testing at 24 weeks post-surgery.

Participants will be asked to complete PROs periodically throughout the study as listed below under data collection. All physical examination measures and testing listed are standard of care for ACLR rehabilitation patients. Details on the regimen followed by both cohorts during the full 6-month rehabilitation are outlined in Appendix 1.

BFR-LLT Treatment Requirements:

The BFR-LLT intervention requires participants to follow the two requirements listed below, as the treatment parameter of 80% LOP has been widely recommended as the ideal amount of blood flow occlusion throughout the literature. Participants who do not meet these criteria will be excluded from the study but will continue to receive standard of care for post-surgery ACLR rehabilitation.

1. Tolerate a personalized pressure of 80% of the limb occlusion pressure (LOP) for 100% of all physical therapy visits in which BFR-LLT is utilized.
2. Tolerate BFR-LLT for a minimum of 20 visits over 16 weeks.

Data Collection:

1. Demographic data (pre-surgery, which is standard of care) will include age, gender, race/ethnicity, height/weight, physeal status, and assessment of baseline activity level with the Tegner Activity Scale (see Appendix 6)
2. Patient-reported outcomes (PROs) (see Appendix 5) will include the Pediatric Internal Knee Documentation Committee (Pedi-IKDC, Appendix 5.1), Lysholm Score (Appendix 5.2), ACL-Return to Sport after Injury (ACL-RSI) confidence assessment (Appendix 5.3) and Adolescent Measure of Confidence and Musculoskeletal Performance (AMCaMP,Appendix 5.4). These PROs are collected pre-surgery as standard of care, but further collection and reassessment of PROs as described in Figure 2 will be unique to study participants. Surveys will be collected and recorded on iPads with direct entry into REDCap and in each participant's confidential EHR on the treatment note from the day the data was collected. All responses will be stored on a secure RedCap server through a secure link and data will be stored in a password-protected file on a secure Children's server. Only the PI and Co-I's will have access to the data.",['Anterior Cruciate Ligament Rupture'],"['Adolescents' 'Blood Flow Restriction Training'
 'Patient-reported Outcomes']",INTERVENTIONAL,,,Participants will be randomized into either a control group or the test group at time of enrollment at a 1:1 ratio. Participants will undergo standard post-surgery rehabilitation (control group) or standard post-surgery rehabilitation with supplemental blood flow restriction (test group).,PARALLEL,,,NONE,"Given that the intervention involves a device that will be physically applied to the participant's post-operative leg, masking is not feasible for this study.",,,,,,2020-09-23,ACTUAL,2020-05-12,2020-05-14,2021-07-27,2023-04,ESTIMATED,,False,False,False,True,,2021-08-02
NCT01578135,French National Longitudinal Prospective Follow-up of Children Born Small for Gestational Age and Treated With Norditropin SimpleXx (French Health Authorities Commitment),,Novo Nordisk A/S,INDUSTRY,Novo Nordisk A/S,INDUSTRY,"This study is conducted in Europe. The aim of the study is to describe the patient population and therapeutic practices (study phase I), assess efficacy on growth and adult height and assess tolerance of somatropin (Norditropin® SimpleXx®) (study phase II)",,['Growth Disorder' 'Small for Gestational Age'],,OBSERVATIONAL,,,,,,PROSPECTIVE,,,,,,,,2007-03-18,ACTUAL,2012-04-13,2012-04-13,2022-10-19,2018-10-09,ACTUAL,,False,False,True,False,,2022-10-20
NCT04204135,The Course of Hip Flexion Weakness Following LLIF or ALIF,,Rush University Medical Center,OTHER,Rush University Medical Center,OTHER,"The purpose of this study is to assess the course of hip weakness after LLIF or ALIF procedures. These outcomes include measures of hip strength using a dynamometer, which is a device used to measure muscle strength. While it is known that people experience temporary hip and leg weakness after an LLIF or ALIF, the exact timing of when hip and leg strength is regained after an LLIF or ALIF is not known.",,"['Degenerative Disc Disease' 'Herniated Nucleus Pulposus'
 'Spondylolisthesis']",,OBSERVATIONAL,,,,,,PROSPECTIVE,,,,,,,,2018-10-04,ACTUAL,2019-08-20,2019-12-16,2025-09-23,2027-11-04,ESTIMATED,,False,False,False,False,,2025-09-24
NCT04007835,Safety and Efficacy of Anlotinib Hydrochloride Combined With Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitors (EGFR TKIs) in Treating Advanced Non-small-cell Lung Cancer (NSCLC) Patients With Acquired Resistance to EGFR TKIs,,Guangdong Association of Clinical Trials,OTHER,Guangdong Association of Clinical Trials,OTHER,"The Single-arm, multicenter study evaluate the safety and efficacy of Anlotinib Hydrochloride combined with EGFR TKIs in treating Advanced NSCLC With acquired Resistance to EGFR TKIs","EGFR TKI have been approved as first-line treatment in NSCLC patients harboring EGFR mutation. However, the acquired resistance of EGFR-TKI occurs almost constantly. Anlotinib is a novel oral multitarget tyrosine kinase inhibitor and primary targeted to Vascular Endothelial Growth Factor Receptor (VEGFR), fibroblast growth factor receptor (FGFR) , platelet-derived growth factor receptor (PDGFR) and c-Kit. The ALTER-0303 trial showed that patients with advanced non-small cell lung cancer (NSCLC) who received anlotinib as third-line or further therapy had more survival benefit. The Single-arm, multicenter study evaluate the safety and efficacy of Anlotinib Hydrochloride combined with EGFR TKIs in treating Advanced NSCLC With acquired Resistance to EGFR TKIs",['NSCLC'],,INTERVENTIONAL,,,,SINGLE_GROUP,,,NONE,,,,,NOT_YET_RECRUITING,NOT_YET_RECRUITING,2019-07,ESTIMATED,2019-06-25,2019-07-02,2019-07-02,2021-12,ESTIMATED,,False,,False,False,,2019-07-05
NCT02583035,Telephone OncoGériatric Followed in the Management of Elderly Patients Treated for Cancer or Haematological Malignancy,TelOG,Centre Francois Baclesse,OTHER,Centre Francois Baclesse,OTHER,"There are no recommendations and few studies on the monitoring of fragile patients in the oncological treatment, both on the organizational arrangements on its interest in the prevention of functional deterioration of the patient and adaptation of the potential cancer treatment.

The oncogériatrique evaluation being time-consuming, requiring the movement of these more or less frail elderly patients, it seems difficult to envisage repeated and systematic standardized geriatric assessments during cancer treatment. Geriatric fragility can be detected by telephone. Craven et al. has already assessed the telephone follow-up by a nurse in patients treated for cancer, but with the aim to detect toxicities of cancer treatment, patients are not very old (mean age 64.8 years).

External evaluation by the nurse coordinator of UCOG (Coordination Unit in geriatric oncology) not knowing the patients included avoids bias of subjectivity in the interrogation.

However the telephone monitoring, with the aim to evaluate the evolution of geriatric frailty, has not been specifically studied in the elderly population treated for cancer, while taking oncology load.

The investigators wish to study the feasibility and validity of telephone follow-up which could eventually be used routinely to identify patients requiring further medical consultation oncogériatrique.",,['Cancer' 'Hematologic Malignancy'],['cancer' 'geriatric'],INTERVENTIONAL,,,,SINGLE_GROUP,,,NONE,,,,,,,2015-02,,2015-09-17,2015-10-20,2019-01-15,2018-05-14,ACTUAL,,False,True,,,,2019-01-16
NCT03980535,Evaluation of New Magnetic Resonance (MR) Imaging and Spectroscopy Software,,M.D. Anderson Cancer Center,OTHER,M.D. Anderson Cancer Center,OTHER,This trial studies how well new magnetic resonance imaging (MRI) and magnetic resonance spectroscopic imaging (MRSI) software works in improving the image quality of scans in both patients and healthy volunteers. Improving the image quality of MRI and MRSI through new software may lead to implementation of these techniques and better clinical care for patients.,"PRIMARY OBJECTIVE:

I. To help develop and/or optimize new magnetic resonance (MR) imaging and spectroscopy applications and analysis software in order to provide the best MR services for our patients.

OUTLINE:

Patients undergo an additional investigational MRI or MRSI sequence along with the standard MRI or MRSI. Healthy volunteers undergo an investigational MRI or MRSI sequence. Healthy volunteers may also undergo an additional standard sequence if there is one that can be compared to the investigational sequence. All MRI or MRSI procedures, including the standard MRI or MRSI, are no longer than 60 minutes.",['Hematopoietic and Lymphoid Cell Neoplasm' 'Malignant Solid Neoplasm'],,INTERVENTIONAL,,,,SINGLE_GROUP,,,NONE,,,,,,,2012-04-16,ACTUAL,2019-06-06,2019-06-07,2022-10-26,2022-09-21,ACTUAL,,False,False,False,True,,2022-10-28
NCT07053735,An Exploratory Clinical Study of Nimotuzumab in Bladder - Sparing Chemoradiotherapy for Muscle - Invasive Bladder Cancer,,Peking University First Hospital,OTHER,Peking University First Hospital,OTHER,"The goal of this exploratory study is to evaluate the safety and efficacy of nimotuzumab combined with chemoradiotherapy in bladder - preserving treatment for MIBC patients who are ineligible for or decline radical cystectomy. The main questions it aims to answer are:

Does nimotuzumab combined with radiotherapy reduce adverse events in elderly bladder cancer patients? Does this combination improve objective response rate (ORR), progression - free survival (PFS), overall survival (OS), and bladder preservation rate in these patients? Participants will be MIBC patients treated with nimotuzumab and chemoradiotherapy, with a planned 5 - year follow - up to assess treatment efficacy and safety.",,"['Bladder (Urothelial, Transitional Cell) Cancer']",['bladder cancer' 'TMT' 'radiation oncology'],INTERVENTIONAL,,,,SINGLE_GROUP,,,NONE,,,,,,,2025-06-30,ESTIMATED,2025-06-27,2025-06-27,2025-06-27,2027-06-30,ESTIMATED,,False,,False,False,,2025-07-08
NCT02285335,,,Yonsei University,OTHER,Yonsei University,OTHER,"The purpose of the study is to evaluate the effect of GINST on human semen. The study is a pilot study, designed as open-label, prospective randomized clinical trial using GINST either 500mg/capsule (panax ginseng 0.96g/day) or 1000mg/capsule (panax ginseng 1.92g/day), two capsules at once, three times a day for 12 weeks. GINST(Ilhwa, Republic of Korea) is a dietary supplement capsule, which is made with 6 year-old Korean red ginseng (Panax ginseng). Expected participants are to be male partners of female patients who visit infertility clinic at Severance hospital, whose total motile sperm count is more than 0.5x106 by semen analysis using computer aided sperm analyzer (CASA). Semen analysis, blood test, questionaires are planned to be performed 2 times, on the initial visit and after 12weeks of GINST treatment. Semen analysis will reveal ejaculated volume, sperm count, motility, morphology, total leukocyte count, total motile sperm count, further analysis including sperm chromatin assessment to examine the quality of sperm and malondialdehyde (MDA) analysis of seminal fluid to assess oxidative stress will be performed. Blood test will be done including serum follicle stimulating hormone (FSH), luteinizing hormone (LH), total and free testosterone. Quality of life, sexual performance before and after taking GINST will be evaluated using questionaires.",,['Infertility'],,INTERVENTIONAL,,,,PARALLEL,,,NONE,,,,,RECRUITING,RECRUITING,2014-11,,2014-11-03,2014-11-06,2019-03-25,2019-08,ESTIMATED,,False,False,,,,2019-03-26
NCT06910735,Effect of Financial Incentives on Weight Loss in Patients With Failed Bariatric Surgery: A Multicenter Randomized Open-Label Trial,BARIACADO,Assistance Publique - Hôpitaux de Paris,OTHER,Assistance Publique - Hôpitaux de Paris,OTHER,"This national, prospective, multicenter, and randomized study seeks to evaluate the effect of financial incentives on weight loss in individuals who experience weight regain following bariatric surgery. The study also aims to conduct a cost-utility analysis to measure the effectiveness of the intervention and assess the potential budgetary implications if it were to be implemented on a wider scale.","Our intervention is based on the principle of ""contingency management"" whereby financial rewards are contingent upon meeting specific weight loss targets. To assess the effectiveness of this approach, patients who have experienced weight regain after bariatric surgery will be randomly assigned to one of three groups. Group 1 will receive the standard care that includes setting a weight-loss target based on the weight achieved at 12 months post-bariatric surgery following the standard multidisciplinary follow-up at the inclusion center. Group 2 will receive the same treatment as the control group (Group 1), but with an additional financial incentive if the weight loss target (corresponding to the weight they reached 12 months after bariatric surgery) is achieved 12 months after inclusion. Group 3 will receive the same treatment as the control group (Group 1), but the financial incentive will be proportional to the actual weight loss achieved relative to the weight loss target (corresponding to the weight they reached 12 months after bariatric surgery).

The study will include a standard post-bariatric surgery follow-up visits scheduled at 6, 12, 18, and 24 months, as per routine practice. At the 12-month visit, participants will be eligible to receive a financial incentive based on their arm assignment and the extent of weight loss achieved. After the 12-month visit, participants will not receive any additional financial incentives until the 24-month visit.",['Obesity' 'Obesity Recidivism'],['Bariatric surgery' 'Financial incentive'],INTERVENTIONAL,,,,PARALLEL,,,NONE,,,,,,,2025-04,ESTIMATED,2025-03-28,2025-03-28,2025-03-28,2029-04,ESTIMATED,,False,False,False,False,,2025-04-04
